"CMAR_NO","CMAR_NO_SQNO","CMAR_NM","SIGUNGU_CD","SIGUNGU_NM","CMAR_PKL_CNT","CMAR_PKL_SQNO","PKL_CL","PKL_TYPE","PKL_MNGNO","PKL_NM","PKBL_CNT","FEE_CL","PKL_LONG","PKL_LAT","CMAR_FGR_CRDNT"
"9153","9153001","신용산역","11170","용산구",1,1,"공영","노상","102-1-000021","한강로2가동",19,"혼합",126.969191,37.53023598,"126.970667531449,37.5318087556488|126.969067365124,37.5301369817665|126.969633360566,37.5293735412272|126.971256542527,37.5300699856199|126.970317490666,37.5301598420065|126.970888562778,37.5307906878316|126.971301602723,37.5305520298526|126.971550402883,37.5307953617911|126.971143020993,37.5310295171002|126.971459673295,37.5313494511884|126.970667531449,37.5318087556488"
"9158","9158001","용산 전자상가_5","11170","용산구",1,1,"공영","노외","102-2-000003","용산주차빌딩",561,"유료",126.9632095,37.534324,"126.964782471505,37.535780467977|126.963306142188,37.5354150983633|126.963249518271,37.5355186945215|126.963322738165,37.5361539195637|126.962174711688,37.5354282431649|126.961824036979,37.5353019869483|126.961801441869,37.5352389097282|126.962899841075,37.5334462923007|126.963035635989,37.5333922767428|126.966757689621,37.5338889737567|126.967877667253,37.53413256543|126.967775784298,37.5342586758168|126.967730515915,37.5342856927853|126.966587764047,37.5343529363579|126.966519632217,37.5348845033952|126.966462761153,37.5355286980491|126.965501013064,37.535604994405|126.965546390802,37.5353527295817|126.965054278809,37.5352354499126|126.964782471505,37.535780467977"
"9169","9169003","광화문역_2","11110","종로구",3,1,"공영","노외","100-2-000006","세종로",1260,"유료",126.9736652,37.5733652,"126.971923689207,37.5740926458369|126.970780218808,37.5744392358603|126.971062913674,37.575200644472|126.971306300902,37.5751962017631|126.971340211002,37.5753223488433|126.971425109422,37.5753313802991|126.971430672162,37.575574648711|126.97158348915,37.5755927071475|126.971572080877,37.5758134465376|126.970870202968,37.5758538117765|126.970400397217,37.5758807191221|126.970440106036,37.5756689971554|126.970338368948,37.5753175847902|126.970214003644,37.5749391366775|126.970598972425,37.5747410200773|126.970446220754,37.5745697922488|126.970372649074,37.5745472482274|126.970038880092,37.5741282002004|126.970084211336,37.5740065786943|126.97031067263,37.5738624802356|126.970633338474,37.5737544459931|126.970831455608,37.5737139528994|126.971035219747,37.5737049955448|126.971391863758,37.5735474135475|126.971748629386,37.5730789892137|126.971035598,37.5727724717886|126.970814904428,37.5726642961549|126.970401863558,37.5723398323607|126.971285054081,37.5717318928906|126.97088334334,37.5713894138267|126.972009964036,37.5705923236269|126.972004428072,37.5702769758686|126.972513795451,37.5703041311666|126.973277862445,37.5703043154608|126.976379404013,37.5703185276248|126.9765491713,37.5703951475643|126.97653176712,37.5716745491026|126.97475456809,37.5716831716879|126.974726116323,37.5721111352547|126.974612824995,37.5723723965532|126.974397173161,37.5739670984431|126.974215459944,37.575597846873|126.972766413446,37.5757191381473|126.972840155437,37.5753001961604|126.972732671556,37.5751470020165|126.972693517133,37.5739306573149|126.971923689207,37.5740926458369"
"9169","9169003","광화문역_2","11110","종로구",3,2,"공영","노상","100-1-000010","광화문빌딩앞",16,"유료",126.9898441,37.5685262,"126.971923689207,37.5740926458369|126.970780218808,37.5744392358603|126.971062913674,37.575200644472|126.971306300902,37.5751962017631|126.971340211002,37.5753223488433|126.971425109422,37.5753313802991|126.971430672162,37.575574648711|126.97158348915,37.5755927071475|126.971572080877,37.5758134465376|126.970870202968,37.5758538117765|126.970400397217,37.5758807191221|126.970440106036,37.5756689971554|126.970338368948,37.5753175847902|126.970214003644,37.5749391366775|126.970598972425,37.5747410200773|126.970446220754,37.5745697922488|126.970372649074,37.5745472482274|126.970038880092,37.5741282002004|126.970084211336,37.5740065786943|126.97031067263,37.5738624802356|126.970633338474,37.5737544459931|126.970831455608,37.5737139528994|126.971035219747,37.5737049955448|126.971391863758,37.5735474135475|126.971748629386,37.5730789892137|126.971035598,37.5727724717886|126.970814904428,37.5726642961549|126.970401863558,37.5723398323607|126.971285054081,37.5717318928906|126.97088334334,37.5713894138267|126.972009964036,37.5705923236269|126.972004428072,37.5702769758686|126.972513795451,37.5703041311666|126.973277862445,37.5703043154608|126.976379404013,37.5703185276248|126.9765491713,37.5703951475643|126.97653176712,37.5716745491026|126.97475456809,37.5716831716879|126.974726116323,37.5721111352547|126.974612824995,37.5723723965532|126.974397173161,37.5739670984431|126.974215459944,37.575597846873|126.972766413446,37.5757191381473|126.972840155437,37.5753001961604|126.972732671556,37.5751470020165|126.972693517133,37.5739306573149|126.971923689207,37.5740926458369"
"9169","9169003","광화문역_2","11110","종로구",3,3,"공영","노상","100-1-000029","광화문빌딩옆",16,"유료",127.035904,37.265965,"126.971923689207,37.5740926458369|126.970780218808,37.5744392358603|126.971062913674,37.575200644472|126.971306300902,37.5751962017631|126.971340211002,37.5753223488433|126.971425109422,37.5753313802991|126.971430672162,37.575574648711|126.97158348915,37.5755927071475|126.971572080877,37.5758134465376|126.970870202968,37.5758538117765|126.970400397217,37.5758807191221|126.970440106036,37.5756689971554|126.970338368948,37.5753175847902|126.970214003644,37.5749391366775|126.970598972425,37.5747410200773|126.970446220754,37.5745697922488|126.970372649074,37.5745472482274|126.970038880092,37.5741282002004|126.970084211336,37.5740065786943|126.97031067263,37.5738624802356|126.970633338474,37.5737544459931|126.970831455608,37.5737139528994|126.971035219747,37.5737049955448|126.971391863758,37.5735474135475|126.971748629386,37.5730789892137|126.971035598,37.5727724717886|126.970814904428,37.5726642961549|126.970401863558,37.5723398323607|126.971285054081,37.5717318928906|126.97088334334,37.5713894138267|126.972009964036,37.5705923236269|126.972004428072,37.5702769758686|126.972513795451,37.5703041311666|126.973277862445,37.5703043154608|126.976379404013,37.5703185276248|126.9765491713,37.5703951475643|126.97653176712,37.5716745491026|126.97475456809,37.5716831716879|126.974726116323,37.5721111352547|126.974612824995,37.5723723965532|126.974397173161,37.5739670984431|126.974215459944,37.575597846873|126.972766413446,37.5757191381473|126.972840155437,37.5753001961604|126.972732671556,37.5751470020165|126.972693517133,37.5739306573149|126.971923689207,37.5740926458369"
"9173","9173001","안국역","11110","종로구",1,1,"공영","노상","100-1-000031","원서공원앞",17,"유료",126.975307,37.346754,"126.986262812739,37.5770370805367|126.986735406118,37.5772353575783|126.986922181885,37.5773052072059|126.987151408043,37.577386324016|126.987578747211,37.577456201335|126.988116474258,37.5774630203501|126.98802558347,37.5792897642255|126.987227462831,37.5792851663575|126.986330285579,37.5792760455721|126.985809545245,37.5791813742997|126.985498239404,37.5790979914297|126.985223736686,37.5789695633589|126.985557866276,37.5781880011241|126.985702268516,37.5778861892261|126.986098651237,37.5771046335627|126.986175077708,37.577041574219|126.986262812739,37.5770370805367"
"9174","9174005","인사동","11110","종로구",5,1,"공영","노상","100-1-000009","탑골공원",2,"무료",126.9856307,37.5713014,"126.986059148338,37.5765234907315|126.985943099285,37.5765933022497|126.985003595935,37.5761584486461|126.984321612825,37.5758475109755|126.983682074805,37.5755861301059|126.983073659879,37.5753743049793|126.983019911215,37.5752819452711|126.982977487921,37.5751693150508|126.983105316596,37.573220945966|126.983179233794,37.5718334337701|126.983151246104,37.5705540242774|126.983270142803,37.5703828545296|126.983428633426,37.5703107995486|126.985822713216,37.5702976242875|126.98744706053,37.5703113418908|126.987429831033,37.571653814357|126.987588062984,37.5729782873447|126.987372867362,37.5736044495484|126.986789692656,37.5745999719345|126.986195066917,37.5761631127724|126.986059148338,37.5765234907315"
"9174","9174005","인사동","11110","종로구",5,2,"공영","노외","100-2-000003","하나로빌딩옆",12,"유료",126.9854514155,37.5713475131,"126.986059148338,37.5765234907315|126.985943099285,37.5765933022497|126.985003595935,37.5761584486461|126.984321612825,37.5758475109755|126.983682074805,37.5755861301059|126.983073659879,37.5753743049793|126.983019911215,37.5752819452711|126.982977487921,37.5751693150508|126.983105316596,37.573220945966|126.983179233794,37.5718334337701|126.983151246104,37.5705540242774|126.983270142803,37.5703828545296|126.983428633426,37.5703107995486|126.985822713216,37.5702976242875|126.98744706053,37.5703113418908|126.987429831033,37.571653814357|126.987588062984,37.5729782873447|126.987372867362,37.5736044495484|126.986789692656,37.5745999719345|126.986195066917,37.5761631127724|126.986059148338,37.5765234907315"
"9174","9174005","인사동","11110","종로구",5,3,"공영","노외","100-2-000001","서인사마당",45,"유료",126.9709258,37.5709645,"126.986059148338,37.5765234907315|126.985943099285,37.5765933022497|126.985003595935,37.5761584486461|126.984321612825,37.5758475109755|126.983682074805,37.5755861301059|126.983073659879,37.5753743049793|126.983019911215,37.5752819452711|126.982977487921,37.5751693150508|126.983105316596,37.573220945966|126.983179233794,37.5718334337701|126.983151246104,37.5705540242774|126.983270142803,37.5703828545296|126.983428633426,37.5703107995486|126.985822713216,37.5702976242875|126.98744706053,37.5703113418908|126.987429831033,37.571653814357|126.987588062984,37.5729782873447|126.987372867362,37.5736044495484|126.986789692656,37.5745999719345|126.986195066917,37.5761631127724|126.986059148338,37.5765234907315"
"9174","9174005","인사동","11110","종로구",5,4,"공영","노외","100-2-000042","하나로빌딩옆",12,"유료",126.9854519,37.57134643,"126.986059148338,37.5765234907315|126.985943099285,37.5765933022497|126.985003595935,37.5761584486461|126.984321612825,37.5758475109755|126.983682074805,37.5755861301059|126.983073659879,37.5753743049793|126.983019911215,37.5752819452711|126.982977487921,37.5751693150508|126.983105316596,37.573220945966|126.983179233794,37.5718334337701|126.983151246104,37.5705540242774|126.983270142803,37.5703828545296|126.983428633426,37.5703107995486|126.985822713216,37.5702976242875|126.98744706053,37.5703113418908|126.987429831033,37.571653814357|126.987588062984,37.5729782873447|126.987372867362,37.5736044495484|126.986789692656,37.5745999719345|126.986195066917,37.5761631127724|126.986059148338,37.5765234907315"
