"기준년월","시군구","평균소득월액"
"2020-05","서울특별시종로구","1450383"
"2020-05","서울특별시중구","1451062"
"2020-05","서울특별시용산구","1492947"
"2020-05","서울특별시성동구","1471625"
"2020-05","서울특별시광진구","1368980"
"2020-05","서울특별시동대문구","1387911"
"2020-05","서울특별시중랑구","1307629"
"2020-05","서울특별시성북구","1386843"
"2020-05","서울특별시강북구","1298784"
"2020-05","서울특별시도봉구","1342237"
"2020-05","서울특별시노원구","1381690"
"2020-05","서울특별시은평구","1358067"
"2020-05","서울특별시서대문구","1397704"
"2020-05","서울특별시마포구","1463518"
"2020-05","서울특별시양천구","1427546"
"2020-05","서울특별시강서구","1357676"
"2020-05","서울특별시구로구","1380680"
"2020-05","서울특별시금천구","1326957"
"2020-05","서울특별시영등포구","1438335"
"2020-05","서울특별시동작구","1403742"
"2020-05","서울특별시관악구","1314745"
"2020-05","서울특별시서초구","1654086"
"2020-05","서울특별시강남구","1670051"
"2020-05","서울특별시송파구","1492916"
"2020-05","서울특별시강동구","1406722"
"2020-05","부산광역시중구","1214471"
"2020-05","부산광역시서구","1290550"
"2020-05","부산광역시동구","1232623"
"2020-05","부산광역시영도구","1255376"
"2020-05","부산광역시부산진구","1319027"
"2020-05","부산광역시동래구","1350453"
"2020-05","부산광역시남구","1306435"
"2020-05","부산광역시북구","1329122"
"2020-05","부산광역시해운대구","1344581"
"2020-05","부산광역시사하구","1282615"
"2020-05","부산광역시금정구","1334215"
"2020-05","부산광역시강서구","1380570"
"2020-05","부산광역시연제구","1326536"
"2020-05","부산광역시수영구","1298597"
"2020-05","부산광역시사상구","1347701"
"2020-05","부산광역시기장군","1266183"
"2020-05","대구광역시중구","1333066"
"2020-05","대구광역시동구","1293313"
"2020-05","대구광역시서구","1263678"
"2020-05","대구광역시남구","1244107"
"2020-05","대구광역시북구","1348814"
"2020-05","대구광역시수성구","1405080"
"2020-05","대구광역시달서구","1367385"
"2020-05","대구광역시달성군","1305265"
"2020-05","인천광역시중구","1324258"
"2020-05","인천광역시동구","1270545"
"2020-05","인천광역시미추홀구","1277710"
"2020-05","인천광역시연수구","1405699"
"2020-05","인천광역시남동구","1289652"
"2020-05","인천광역시부평구","1337842"
"2020-05","인천광역시계양구","1339891"
"2020-05","인천광역시서구","1361832"
"2020-05","인천광역시강화군","1372860"
"2020-05","인천광역시옹진군","1411413"
"2020-05","광주광역시동구","1275086"
"2020-05","광주광역시서구","1302093"
"2020-05","광주광역시남구","1260598"
"2020-05","광주광역시북구","1262876"
"2020-05","광주광역시광산구","1270440"
"2020-05","대전광역시동구","1261808"
