일자,요일,도로명,링크아이디,방향,시점명,종점명,거리,기능유형,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2022-07-01,금,가재울길,1680032300,상행,모래방죽사거리,북항사거리,1188,일반도로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-01,금,가재울길,1680032200,하행,북항사거리,모래방죽사거리,1187,일반도로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-01,금,경명로,1680050600,상행,신세계장례식장,빈정내사거리,798,일반도로,292,192,185,218,434,1178,2118,2616,2320,1697,1511,1449,1486,1460,1526,1574,1630,1794,1682,1336,1033,910,761,570
2022-07-01,금,경명로,1680050700,하행,빈정내사거리,신세계장례식장,798,일반도로,263,231,172,184,221,360,623,1167,1626,1434,1298,1248,1228,1419,1336,1476,1634,1656,1625,1500,1393,1149,869,563
2022-07-01,금,경원로,1640008700,상행,동막역 3번출구,풍림2차 아파트,181,일반도로,526,307,248,196,458,1008,1875,3680,4569,3496,2928,2966,2988,3158,3404,3253,3870,5250,5129,3582,3011,2545,2027,1226
2022-07-01,금,경원로,1630037700,상행,용하약국,법원사거리4,422,일반도로,129,113,116,119,186,356,660,1111,596,437,474,579,504,391,433,432,410,476,379,509,534,493,517,357
2022-07-01,금,경원로,1660010000,상행,열우물사거리,백운공원3거리,1067,일반도로,216,175,147,122,154,268,379,510,732,713,730,684,744,729,848,884,905,1214,1185,902,764,621,475,380
2022-07-01,금,경원로,1640050300,상행,선학지하차도,문학경기장 입구,904,일반도로,648,508,362,323,478,977,1673,2698,3622,2644,2473,2255,2165,2258,2446,2371,2932,3429,3821,3327,2574,2024,1715,1019
2022-07-01,금,경원로,1640001800,상행,문학경기장 입구,관선고가교,232,일반도로,346,298,207,186,307,680,1183,1731,2093,1754,1663,1560,1402,1536,1725,1800,2143,2469,2484,2262,1941,1437,1286,707
2022-07-01,금,경원로,1640010500,상행,경원로삼거리,동춘역사거리,392,일반도로,278,166,137,63,187,338,685,1396,1779,1339,1250,1230,1207,1313,1362,1408,1502,1734,1763,1481,1301,1128,873,552
2022-07-01,금,경원로,1660004800,상행,십정사거리,열우물사거리,477,일반도로,329,289,190,156,207,378,488,665,916,1007,943,847,906,948,1014,997,1074,1138,1154,1136,1040,902,839,628
2022-07-01,금,경원로,1650071700,상행,석정삼거리1,6공단입구삼거리,247,일반도로,398,339,269,286,379,772,1424,1896,1801,1543,1524,1516,1367,1452,1479,1539,1461,1449,1462,1371,1250,1080,978,771
2022-07-01,금,경원로,1640015700,상행,105호고가교남측,원인제역삼거리,324,일반도로,591,350,260,215,471,1214,2575,4810,5440,3828,3378,3393,3378,3799,3819,3996,4638,5792,5420,4650,3771,3027,2262,1272
2022-07-01,금,경원로,1640050200,하행,문학경기장 입구,선학지하차도,899,일반도로,490,400,323,309,484,1270,2743,3808,3670,2339,2271,2361,2394,2471,2374,2307,2663,2865,3133,2909,2044,1729,1894,1063
2022-07-01,금,경원로,1650071800,하행,6공단입구삼거리,석정삼거리1,250,일반도로,477,363,349,273,368,755,1068,1083,1028,1108,1125,1155,1331,1259,1178,946,939,544,447,1098,1238,1275,1095,837
2022-07-01,금,경원로,1630037800,하행,법원사거리4,용하약국,422,일반도로,98,59,77,91,79,220,232,604,1374,319,740,875,74,938,653,22,978,1584,1422,655,405,299,116,118
2022-07-01,금,경원로,1640015800,하행,원인제역삼거리,105호고가교남측,323,일반도로,314,184,152,175,335,988,1977,2731,2377,1952,1689,1739,1727,1793,1792,1826,1847,1637,1675,1628,1309,1216,1066,703
2022-07-01,금,경원로,1660010100,하행,백운공원3거리,열우물사거리,1071,일반도로,285,236,189,195,237,458,729,835,935,686,643,688,686,690,697,623,660,566,480,552,589,568,555,468
2022-07-01,금,경원로,1660004900,하행,열우물사거리,십정사거리,478,일반도로,348,261,227,213,298,627,993,1062,987,799,858,871,905,954,933,886,835,580,551,654,770,784,713,610
2022-07-01,금,경원로,1640008800,하행,풍림2차 아파트,동막역 3번출구,181,일반도로,220,149,100,110,215,781,1183,1636,1637,1470,1202,1229,1304,1300,1303,1275,1380,1430,1484,1280,1152,1066,898,580
2022-07-01,금,경원로,1640010600,하행,동춘역사거리,경원로삼거리,392,일반도로,72,54,32,20,70,224,339,478,472,492,464,463,456,472,506,439,549,506,511,451,370,351,291,176
2022-07-01,금,경원로,1640001700,하행,관선고가교,문학경기장 입구,231,일반도로,351,289,294,280,484,1324,2197,2723,2556,1958,1812,1825,1746,1756,1768,1821,1938,2213,2256,1753,1331,1143,1504,704
2022-07-01,금,고산로,1680072200,상행,,,191,일반도로,,29,17,14,42,191,421,804,590,414,377,366,301,346,436,442,648,554,422,312,234,213,151,81
2022-07-01,금,고산로,1680072300,상행,,,191,일반도로,,80,43,31,53,213,464,502,763,681,592,501,573,654,613,663,799,816,1093,937,558,447,338,210
2022-07-01,금,고산후로,1680056901,상행,대한항공실내체육관,,403,일반도로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-01,금,고산후로,1680056802,상행,,대한항공실내체육관,405,일반도로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-01,금,길주로,1660033300,상행,뉴서울아파트삼거리,부개대동A3,318,일반도로,771,561,438,373,448,1064,1642,2379,2609,2234,1909,1910,2039,2149,2187,2264,2318,2347,2460,2272,2063,1905,1794,1278
2022-07-01,금,길주로,1660033200,하행,부개대동A3,뉴서울아파트삼거리,318,일반도로,460,350,254,294,477,1000,965,1021,1182,1249,1172,1196,1279,1287,1294,1211,1134,1038,1321,1297,1160,1080,966,726
2022-07-01,금,낙섬길,1630017402,상행,,학익1동교통방송,430,일반도로,143,94,79,82,132,221,409,421,456,372,393,447,526,372,338,464,456,485,463,378,346,253,206,135
