법정동코드,기준연월,시도명,시군구명,읍면동명,리명,전체 평균연령,남자 평균연령,여자 평균연령
1111010100,2023-01-31,서울특별시,종로구,청운동,청운동,43.2,40.8,45.6
1111010200,2023-01-31,서울특별시,종로구,신교동,신교동,43.9,42,45.4
1111010300,2023-01-31,서울특별시,종로구,궁정동,궁정동,41,39.4,42.2
1111010400,2023-01-31,서울특별시,종로구,효자동,효자동,45.2,45.1,45.2
1111010500,2023-01-31,서울특별시,종로구,창성동,창성동,47,47,47
1111010600,2023-01-31,서울특별시,종로구,통의동,통의동,45,43.1,46.8
1111010700,2023-01-31,서울특별시,종로구,적선동,적선동,55.1,57.2,53.1
1111010800,2023-01-31,서울특별시,종로구,통인동,통인동,48.7,47.8,49.4
1111010900,2023-01-31,서울특별시,종로구,누상동,누상동,44.1,43.3,44.8
1111011000,2023-01-31,서울특별시,종로구,누하동,누하동,46.6,44.8,48
1111011100,2023-01-31,서울특별시,종로구,옥인동,옥인동,44.3,42.8,45.6
1111011200,2023-01-31,서울특별시,종로구,체부동,체부동,48.3,45.7,50.9
1111011300,2023-01-31,서울특별시,종로구,필운동,필운동,45.1,45,45.2
1111011400,2023-01-31,서울특별시,종로구,내자동,내자동,54.8,54.5,55.1
1111011500,2023-01-31,서울특별시,종로구,사직동,사직동,46.1,46,46.2
1111011600,2023-01-31,서울특별시,종로구,도렴동,도렴동,49.5,49.5,0
1111011700,2023-01-31,서울특별시,종로구,당주동,당주동,46.9,45.6,48
1111011800,2023-01-31,서울특별시,종로구,내수동,내수동,44.8,45.2,44.6
1111012000,2023-01-31,서울특별시,종로구,신문로1가,신문로1가,45.3,41.2,50
1111012100,2023-01-31,서울특별시,종로구,신문로2가,신문로2가,45,44.2,45.8
1111012200,2023-01-31,서울특별시,종로구,청진동,청진동,55.7,56.1,54.7
1111012300,2023-01-31,서울특별시,종로구,서린동,서린동,51,51,0
1111012400,2023-01-31,서울특별시,종로구,수송동,수송동,49.3,47.9,50.5
1111012500,2023-01-31,서울특별시,종로구,중학동,중학동,59.5,53.5,77.5
1111012600,2023-01-31,서울특별시,종로구,종로1가,종로1가,47,48,45.8
1111012700,2023-01-31,서울특별시,종로구,공평동,공평동,72.5,72.5,0
1111012800,2023-01-31,서울특별시,종로구,관훈동,관훈동,58.3,56.8,60.9
1111012900,2023-01-31,서울특별시,종로구,견지동,견지동,45.6,46.3,45
1111013000,2023-01-31,서울특별시,종로구,와룡동,와룡동,56.8,58.2,55.2
1111013100,2023-01-31,서울특별시,종로구,권농동,권농동,55.1,51.6,59.4
1111013200,2023-01-31,서울특별시,종로구,운니동,운니동,45.5,44.1,47.3
1111013300,2023-01-31,서울특별시,종로구,익선동,익선동,46.9,45.9,48.2
1111013400,2023-01-31,서울특별시,종로구,경운동,경운동,46.5,46.4,46.7
1111013500,2023-01-31,서울특별시,종로구,관철동,관철동,43.2,44.4,40.3
1111013600,2023-01-31,서울특별시,종로구,인사동,인사동,59.9,61.6,57.5
1111013700,2023-01-31,서울특별시,종로구,낙원동,낙원동,54,54.6,53
1111013800,2023-01-31,서울특별시,종로구,종로2가,종로2가,55.4,52.9,60.9
1111013900,2023-01-31,서울특별시,종로구,팔판동,팔판동,51.9,51.9,51.9
1111014000,2023-01-31,서울특별시,종로구,삼청동,삼청동,47.2,46.1,48.2
1111014100,2023-01-31,서울특별시,종로구,안국동,안국동,51.7,51.9,51.6
1111014200,2023-01-31,서울특별시,종로구,소격동,소격동,50.8,46.7,54.9
1111014300,2023-01-31,서울특별시,종로구,화동,화동,47.6,46.5,48.5
1111014400,2023-01-31,서울특별시,종로구,사간동,사간동,49.4,48.9,49.9
1111014600,2023-01-31,서울특별시,종로구,가회동,가회동,48.1,46.5,49.5
1111014700,2023-01-31,서울특별시,종로구,재동,재동,52.3,47.8,56.8
1111014800,2023-01-31,서울특별시,종로구,계동,계동,47.8,45.7,49.6
1111014900,2023-01-31,서울특별시,종로구,원서동,원서동,46.3,45.6,46.9
1111015100,2023-01-31,서울특별시,종로구,묘동,묘동,62.8,62.6,63.8
1111015200,2023-01-31,서울특별시,종로구,봉익동,봉익동,58.4,60.2,54.4
1111015300,2023-01-31,서울특별시,종로구,돈의동,돈의동,63,62.9,63.6
1111015400,2023-01-31,서울특별시,종로구,장사동,장사동,59.3,57.5,67
1111015500,2023-01-31,서울특별시,종로구,관수동,관수동,44.8,46.9,38.9
1111015600,2023-01-31,서울특별시,종로구,종로3가,종로3가,51.5,50.7,55
1111015700,2023-01-31,서울특별시,종로구,인의동,인의동,43.2,43.5,43
1111015800,2023-01-31,서울특별시,종로구,예지동,예지동,60.1,55.3,67.1
1111015900,2023-01-31,서울특별시,종로구,원남동,원남동,43.9,45.7,42.5
1111016000,2023-01-31,서울특별시,종로구,연지동,연지동,37.4,40.2,34.5
1111016100,2023-01-31,서울특별시,종로구,종로4가,종로4가,52.7,57.2,48.8
1111016200,2023-01-31,서울특별시,종로구,효제동,효제동,41.3,42.9,39.6
1111016300,2023-01-31,서울특별시,종로구,종로5가,종로5가,56.8,57.2,56.1
1111016400,2023-01-31,서울특별시,종로구,종로6가,종로6가,52.1,53.1,51
1111016500,2023-01-31,서울특별시,종로구,이화동,이화동,47.2,46.5,47.9
1111016600,2023-01-31,서울특별시,종로구,연건동,연건동,40.9,39.6,42.1
1111016700,2023-01-31,서울특별시,종로구,충신동,충신동,48.2,47.9,48.5
1111016800,2023-01-31,서울특별시,종로구,동숭동,동숭동,45.5,45,46
1111016900,2023-01-31,서울특별시,종로구,혜화동,혜화동,42.2,41.6,42.8
1111017000,2023-01-31,서울특별시,종로구,명륜1가,명륜1가,41.7,40.2,43
1111017100,2023-01-31,서울특별시,종로구,명륜2가,명륜2가,41.3,40.6,41.9
1111017200,2023-01-31,서울특별시,종로구,명륜4가,명륜4가,42.4,41.5,43.2
1111017300,2023-01-31,서울특별시,종로구,명륜3가,명륜3가,43.1,41.5,44.8
1111017400,2023-01-31,서울특별시,종로구,창신동,창신동,48.8,47.9,49.8
1111017500,2023-01-31,서울특별시,종로구,숭인동,숭인동,45.7,46,45.3
1111017600,2023-01-31,서울특별시,종로구,교남동,교남동,42.7,43.4,41.9
1111017700,2023-01-31,서울특별시,종로구,평동,평동,38.3,37.5,38.9
1111017800,2023-01-31,서울특별시,종로구,송월동,송월동,42.3,42.5,42.1
1111017900,2023-01-31,서울특별시,종로구,홍파동,홍파동,42,42,42.1
1111018000,2023-01-31,서울특별시,종로구,교북동,교북동,39.9,38.9,40.6
1111018100,2023-01-31,서울특별시,종로구,행촌동,행촌동,47.1,45.7,48.2
1111018200,2023-01-31,서울특별시,종로구,구기동,구기동,45.6,44.4,46.7
1111018300,2023-01-31,서울특별시,종로구,평창동,평창동,45.7,44.7,46.6
1111018400,2023-01-31,서울특별시,종로구,부암동,부암동,46.5,44.8,47.9
